time,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
-0.00375,2.9526,2.9162,2.9362,2.9502,2.9264,2.9504,2.9504,2.9462,2.942,2.9192,2.952,2.9308,2.9296,2.944,2.9362,2.922,2.9416,2.9404,2.928,2.9538
-0.0037489999999999997,2.9446,2.9162,2.9322,2.9462,2.9264,2.9384,2.9424,2.9422,2.938,2.9272,2.96,2.9308,2.9256,2.94,2.9362,2.922,2.9376,2.9404,2.928,2.9498
-0.003748,2.9486,2.9202,2.9322,2.9502,2.9344,2.9384,2.9504,2.9462,2.942,2.9232,2.956,2.9308,2.9336,2.932,2.9362,2.918,2.9416,2.9404,2.924,2.9498
-0.003747,2.9526,2.9122,2.9282,2.9502,2.9344,2.9424,2.9424,2.9382,2.942,2.9272,2.96,2.9348,2.9336,2.936,2.9362,2.918,2.9376,2.9404,2.928,2.9458
-0.0037459999999999998,2.9526,2.9082,2.9282,2.9462,2.9344,2.9384,2.9464,2.9462,2.934,2.9232,2.948,2.9388,2.9336,2.932,2.9362,2.918,2.9416,2.9444,2.924,2.9538
-0.003745,2.9526,2.9162,2.9282,2.9502,2.9264,2.9464,2.9504,2.9422,2.938,2.9232,2.952,2.9308,2.9336,2.94,2.9362,2.926,2.9376,2.9404,2.924,2.9578
-0.003744,2.9526,2.9202,2.9322,2.9502,2.9344,2.9424,2.9464,2.9422,2.942,2.9312,2.968,2.9308,2.9336,2.94,2.9362,2.926,2.9456,2.9444,2.928,2.9498
-0.003743,2.9486,2.9162,2.9322,2.9502,2.9344,2.9384,2.9464,2.9422,2.942,2.9232,2.956,2.9308,2.9376,2.94,2.9282,2.922,2.9376,2.9404,2.936,2.9538
-0.0037419999999999997,2.9486,2.9122,2.9322,2.9462,2.9264,2.9464,2.9504,2.9462,2.946,2.9312,2.952,2.9348,2.9336,2.932,2.9362,2.922,2.9416,2.9404,2.924,2.9498
-0.003741,2.9406,2.9202,2.9362,2.9502,2.9384,2.9344,2.9504,2.9422,2.942,2.9312,2.952,2.9308,2.9336,2.94,2.9322,2.922,2.9416,2.9404,2.924,2.9538
-0.00374,2.9486,2.9122,2.9362,2.9542,2.9344,2.9424,2.9544,2.9422,2.946,2.9272,2.96,2.9388,2.9256,2.936,2.9322,2.926,2.9416,2.9404,2.932,2.9618
-0.0037389999999999997,2.9486,2.9162,2.9282,2.9502,2.9264,2.9384,2.9544,2.9422,2.942,2.9312,2.956,2.9308,2.9336,2.936,2.9362,2.93,2.9376,2.9404,2.924,2.9578
-0.003738,2.9446,2.9202,2.9282,2.9502,2.9344,2.9464,2.9504,2.9382,2.942,2.9272,2.948,2.9348,2.9336,2.94,2.9362,2.922,2.9376,2.9444,2.924,2.9538
-0.003737,2.9486,2.9202,2.9282,2.9542,2.9384,2.9464,2.9544,2.9342,2.938,2.9272,2.956,2.9348,2.9336,2.94,2.9362,2.93,2.9416,2.9364,2.928,2.9538
-0.0037359999999999997,2.9486,2.9202,2.9322,2.9502,2.9264,2.9464,2.9464,2.9422,2.938,2.9312,2.956,2.9388,2.9296,2.94,2.9362,2.926,2.9376,2.9404,2.92,2.9618
-0.003735,2.9486,2.9202,2.9242,2.9502,2.9304,2.9384,2.9464,2.9422,2.938,2.9312,2.952,2.9308,2.9336,2.94,2.9362,2.922,2.9376,2.9404,2.92,2.9538
-0.003734,2.9526,2.9202,2.9362,2.9502,2.9384,2.9424,2.9504,2.9462,2.942,2.9352,2.964,2.9348,2.9336,2.936,2.9282,2.922,2.9376,2.9404,2.924,2.9458
-0.0037329999999999998,2.9486,2.9202,2.9322,2.9542,2.9344,2.9464,2.9504,2.9382,2.938,2.9312,2.952,2.9468,2.9336,2.94,2.9402,2.918,2.9456,2.9364,2.916,2.9578
-0.003732,2.9446,2.9122,2.9282,2.9542,2.9344,2.9504,2.9504,2.9422,2.938,2.9312,2.96,2.9308,2.9336,2.936,2.9362,2.918,2.9376,2.9364,2.928,2.9538
-0.003731,2.9446,2.9122,2.9242,2.9502,2.9344,2.9424,2.9504,2.9462,2.934,2.9312,2.952,2.9308,2.9336,2.932,2.9282,2.918,2.9376,2.9404,2.92,2.9458
-0.00373,2.9486,2.9082,2.9322,2.9582,2.9344,2.9384,2.9464,2.9382,2.938,2.9272,2.952,2.9388,2.9336,2.932,2.9322,2.926,2.9456,2.9404,2.924,2.9538
-0.0037289999999999997,2.9406,2.9162,2.9362,2.9462,2.9384,2.9464,2.9464,2.9462,2.942,2.9272,2.952,2.9308,2.9336,2.94,2.9282,2.918,2.9416,2.9404,2.932,2.9498
-0.003728,2.9446,2.9162,2.9282,2.9462,2.9344,2.9344,2.9464,2.9422,2.938,2.9272,2.956,2.9388,2.9336,2.932,2.9362,2.926,2.9376,2.9444,2.928,2.9538
-0.003727,2.9406,2.9162,2.9362,2.9462,2.9264,2.9424,2.9504,2.9422,2.946,2.9312,2.956,2.9348,2.9256,2.932,2.9322,2.918,2.9376,2.9404,2.924,2.9538
-0.0037259999999999997,2.9526,2.9242,2.9362,2.9502,2.9344,2.9384,2.9544,2.9422,2.938,2.9272,2.952,2.9308,2.9416,2.936,2.9322,2.926,2.9416,2.9364,2.928,2.9498
-0.003725,2.9406,2.9202,2.9402,2.9422,2.9264,2.9464,2.9504,2.9502,2.942,2.9272,2.948,2.9308,2.9376,2.936,2.9322,2.926,2.9416,2.9404,2.924,2.9458
-0.003724,2.9486,2.9162,2.9322,2.9542,2.9344,2.9424,2.9464,2.9462,2.938,2.9312,2.952,2.9348,2.9336,2.932,2.9362,2.918,2.9376,2.9324,2.936,2.9538
-0.0037229999999999997,2.9486,2.9202,2.9282,2.9542,2.9264,2.9344,2.9504,2.9422,2.942,2.9312,2.96,2.9308,2.9336,2.932,2.9362,2.918,2.9456,2.9364,2.932,2.9538
-0.003722,2.9526,2.9162,2.9322,2.9502,2.9384,2.9464,2.9464,2.9462,2.942,2.9232,2.964,2.9348,2.9256,2.94,2.9322,2.918,2.9416,2.9404,2.928,2.9538
-0.003721,2.9446,2.9242,2.9322,2.9542,2.9384,2.9424,2.9544,2.9382,2.938,2.9272,2.952,2.9428,2.9336,2.94,2.9362,2.918,2.9376,2.9404,2.928,2.9578
-0.0037199999999999998,2.9526,2.9202,2.9282,2.9502,2.9264,2.9344,2.9544,2.9382,2.946,2.9312,2.96,2.9388,2.9256,2.936,2.9322,2.918,2.9416,2.9404,2.928,2.9618
-0.0037189999999999996,2.9486,2.9082,2.9282,2.9542,2.9264,2.9424,2.9504,2.9422,2.934,2.9232,2.952,2.9388,2.9296,2.936,2.9402,2.922,2.9376,2.9404,2.928,2.9498
-0.003718,2.9446,2.9162,2.9282,2.9422,2.9304,2.9424,2.9544,2.9462,2.946,2.9272,2.956,2.9268,2.9336,2.936,2.9282,2.926,2.9456,2.9364,2.928,2.9578
-0.003717,2.9486,2.9202,2.9322,2.9502,2.9384,2.9464,2.9464,2.9422,2.942,2.9272,2.952,2.9388,2.9256,2.936,2.9322,2.922,2.9336,2.9404,2.924,2.9538
-0.0037159999999999997,2.9526,2.9162,2.9282,2.9502,2.9344,2.9464,2.9424,2.9462,2.938,2.9272,2.96,2.9308,2.9296,2.936,2.9362,2.93,2.9416,2.9404,2.924,2.9538
-0.003715,2.9486,2.9202,2.9322,2.9502,2.9264,2.9464,2.9504,2.9422,2.942,2.9272,2.952,2.9308,2.9376,2.936,2.9322,2.922,2.9456,2.9404,2.932,2.9498
-0.003714,2.9446,2.9162,2.9322,2.9502,2.9264,2.9464,2.9544,2.9422,2.934,2.9272,2.952,2.9308,2.9336,2.94,2.9362,2.922,2.9416,2.9444,2.924,2.9538
-0.0037129999999999997,2.9486,2.9202,2.9282,2.9582,2.9304,2.9464,2.9504,2.9382,2.938,2.9352,2.964,2.9428,2.9376,2.944,2.9322,2.926,2.9376,2.9444,2.924,2.9578
-0.003712,2.9446,2.9122,2.9282,2.9502,2.9304,2.9464,2.9504,2.9382,2.942,2.9312,2.96,2.9268,2.9336,2.94,2.9322,2.922,2.9416,2.9404,2.92,2.9458
-0.003711,2.9566,2.9082,2.9322,2.9502,2.9344,2.9424,2.9464,2.9462,2.942,2.9232,2.96,2.9348,2.9336,2.936,2.9362,2.918,2.9416,2.9404,2.924,2.9498
-0.0037099999999999998,2.9486,2.9122,2.9322,2.9542,2.9304,2.9384,2.9504,2.9382,2.938,2.9232,2.952,2.9308,2.9296,2.936,2.9322,2.926,2.9376,2.9404,2.932,2.9538
-0.003709,2.9486,2.9162,2.9282,2.9502,2.9304,2.9464,2.9544,2.9462,2.938,2.9232,2.96,2.9268,2.9336,2.932,2.9322,2.918,2.9376,2.9404,2.924,2.9498
-0.003708,2.9526,2.9162,2.9282,2.9502,2.9304,2.9384,2.9504,2.9462,2.938,2.9232,2.956,2.9268,2.9336,2.94,2.9362,2.922,2.9456,2.9364,2.92,2.9498
-0.003707,2.9486,2.9162,2.9282,2.9502,2.9384,2.9424,2.9464,2.9422,2.942,2.9272,2.952,2.9308,2.9336,2.932,2.9362,2.918,2.9456,2.9404,2.932,2.9498
-0.0037059999999999997,2.9486,2.9162,2.9282,2.9502,2.9344,2.9424,2.9544,2.9422,2.942,2.9272,2.952,2.9268,2.9336,2.944,2.9402,2.918,2.9456,2.9404,2.928,2.9498
-0.003705,2.9406,2.9202,2.9322,2.9462,2.9424,2.9384,2.9504,2.9342,2.95,2.9192,2.952,2.9348,2.9296,2.932,2.9362,2.922,2.9336,2.9404,2.928,2.9578
-0.003704,2.9526,2.9202,2.9362,2.9502,2.9304,2.9464,2.9424,2.9382,2.934,2.9272,2.956,2.9228,2.9336,2.932,2.9282,2.93,2.9416,2.9404,2.924,2.9458
-0.0037029999999999997,2.9446,2.9202,2.9282,2.9462,2.9264,2.9424,2.9544,2.9342,2.942,2.9272,2.964,2.9388,2.9296,2.932,2.9362,2.918,2.9416,2.9404,2.924,2.9538
-0.003702,2.9566,2.9122,2.9282,2.9582,2.9344,2.9464,2.9544,2.9462,2.942,2.9312,2.964,2.9308,2.9296,2.94,2.9322,2.918,2.9376,2.9404,2.928,2.9578
-0.003701,2.9526,2.9202,2.9322,2.9502,2.9344,2.9504,2.9504,2.9422,2.934,2.9312,2.952,2.9268,2.9336,2.936,2.9362,2.918,2.9416,2.9404,2.924,2.9458
-0.0036999999999999997,2.9446,2.9162,2.9282,2.9462,2.9344,2.9424,2.9504,2.9382,2.938,2.9232,2.948,2.9308,2.9336,2.936,2.9282,2.922,2.9376,2.9324,2.924,2.9538
-0.003699,2.9526,2.9162,2.9322,2.9542,2.9264,2.9384,2.9464,2.9422,2.942,2.9312,2.956,2.9388,2.9416,2.932,2.9362,2.93,2.9376,2.9444,2.924,2.9538
-0.003698,2.9526,2.9202,2.9242,2.9582,2.9384,2.9464,2.9464,2.9462,2.926,2.9232,2.956,2.9388,2.9336,2.932,2.9322,2.922,2.9336,2.9404,2.924,2.9618
-0.0036969999999999998,2.9566,2.9122,2.9322,2.9542,2.9264,2.9344,2.9544,2.9382,2.942,2.9232,2.952,2.9348,2.9336,2.936,2.9322,2.922,2.9416,2.9404,2.92,2.9538
-0.003696,2.9526,2.9162,2.9282,2.9502,2.9224,2.9424,2.9504,2.9422,2.938,2.9312,2.948,2.9348,2.9376,2.932,2.9322,2.926,2.9376,2.9404,2.924,2.9538
-0.003695,2.9486,2.9202,2.9282,2.9502,2.9344,2.9384,2.9544,2.9462,2.938,2.9272,2.96,2.9348,2.9336,2.936,2.9322,2.922,2.9336,2.9444,2.924,2.9498
-0.003694,2.9446,2.9162,2.9282,2.9502,2.9344,2.9424,2.9504,2.9422,2.942,2.9272,2.944,2.9388,2.9376,2.936,2.9282,2.93,2.9416,2.9404,2.928,2.9538
-0.0036929999999999997,2.9446,2.9162,2.9362,2.9462,2.9304,2.9424,2.9544,2.9462,2.942,2.9232,2.952,2.9348,2.9376,2.932,2.9362,2.922,2.9416,2.9364,2.932,2.9578
-0.003692,2.9446,2.9202,2.9322,2.9462,2.9344,2.9384,2.9504,2.9502,2.938,2.9232,2.952,2.9348,2.9336,2.936,2.9362,2.918,2.9416,2.9404,2.928,2.9538
-0.003691,2.9446,2.9122,2.9282,2.9502,2.9344,2.9384,2.9464,2.9422,2.934,2.9232,2.952,2.9268,2.9336,2.936,2.9362,2.922,2.9456,2.9404,2.924,2.9458
-0.0036899999999999997,2.9446,2.9162,2.9282,2.9542,2.9344,2.9464,2.9504,2.9462,2.938,2.9232,2.96,2.9308,2.9336,2.932,2.9362,2.914,2.9416,2.9404,2.92,2.9538
-0.003689,2.9486,2.9162,2.9362,2.9502,2.9304,2.9344,2.9504,2.9382,2.942,2.9312,2.952,2.9348,2.9256,2.944,2.9402,2.926,2.9456,2.9404,2.92,2.9538
-0.003688,2.9526,2.9122,2.9282,2.9502,2.9304,2.9384,2.9464,2.9462,2.93,2.9272,2.952,2.9308,2.9296,2.932,2.9322,2.922,2.9376,2.9364,2.924,2.9498
-0.0036869999999999997,2.9486,2.9162,2.9202,2.9462,2.9304,2.9464,2.9504,2.9382,2.942,2.9312,2.956,2.9308,2.9336,2.94,2.9362,2.918,2.9376,2.9364,2.924,2.9498
-0.003686,2.9486,2.9162,2.9362,2.9502,2.9344,2.9424,2.9584,2.9422,2.938,2.9272,2.952,2.9308,2.9336,2.936,2.9322,2.922,2.9416,2.9404,2.924,2.9538
