magnet,field
-4,-0.005163153
-3.99,-0.0051961
-3.98,-0.005229094
-3.97,-0.005262197
-3.96,-0.005295501
-3.95,-0.005329131
-3.94,-0.005363017
-3.93,-0.005396811
-3.92,-0.005430874
-3.91,-0.005465258
-3.9,-0.005499714
-3.89,-0.005534887
-3.88,-0.005570091
-3.87,-0.005605141
-3.86,-0.005640343
-3.85,-0.005676488
-3.84,-0.005712173
-3.83,-0.005748256
-3.82,-0.005784651
-3.81,-0.005821235
-3.8,-0.005857844
-3.79,-0.005894649
-3.78,-0.005932087
-3.77,-0.005969759
-3.76,-0.006007458
-3.75,-0.006045161
-3.74,-0.00608328
-3.73,-0.006121659
-3.72,-0.006160162
-3.71,-0.006198756
-3.7,-0.006237517
-3.69,-0.006277307
-3.68,-0.006317061
-3.67,-0.006356782
-3.66,-0.006396703
-3.65,-0.006437291
-3.64,-0.00647838
-3.63,-0.006519324
-3.62,-0.006560647
-3.61,-0.006602501
-3.6,-0.006644661
-3.59,-0.006686964
-3.58,-0.006729923
-3.57,-0.006773532
-3.56,-0.006817545
-3.55,-0.006861484
-3.54,-0.006905875
-3.53,-0.006950858
-3.52,-0.006996516
-3.51,-0.007042739
-3.5,-0.007089233
-3.49,-0.007136049
-3.48,-0.007183507
-3.47,-0.007231374
-3.46,-0.007279704
-3.45,-0.007328837
-3.44,-0.007378583
-3.43,-0.007428678
-3.42,-0.007479341
-3.41,-0.007530547
-3.4,-0.007582031
-3.39,-0.00763442
-3.38,-0.007687463
-3.37,-0.00774072
-3.36,-0.007794449
-3.35,-0.0078496
-3.34,-0.00790467
-3.33,-0.007960054
-3.32,-0.008016356
-3.31,-0.008073509
-3.3,-0.008130776
-3.29,-0.008188672
-3.28,-0.008247371
-3.27,-0.008306722
-3.26,-0.008366646
-3.25,-0.008427136
-3.24,-0.008488008
-3.23,-0.00854959
-3.22,-0.008611995
-3.21,-0.008674954
-3.2,-0.008737824
-3.19,-0.008801645
-3.18,-0.008866281
-3.17,-0.008931336
-3.16,-0.008997111
-3.15,-0.009064608
-3.14,-0.00913173
-3.13,-0.009198808
-3.12,-0.009267155
-3.11,-0.009336255
-3.1,-0.009403764
-3.09,-0.009471124
-3.08,-0.009540421
-3.07,-0.00961254
-3.06,-0.009685002
-3.05,-0.009751972
-3.04,-0.009825839
-3.03,-0.009897879
-3.02,-0.009982008
-3.01,-0.010068403
-3,-0.010123506
-2.99,-0.01019862
-2.98,-0.010260762
-2.97,-0.010344351
-2.96,-0.010441116
-2.95,-0.010500102
-2.94,-0.010582362
-2.93,-0.010664001
-2.92,-0.010745004
-2.91,-0.010825154
-2.9,-0.010904035
-2.89,-0.010986181
-2.88,-0.011068368
-2.87,-0.011150782
-2.86,-0.011233273
-2.85,-0.011315357
-2.84,-0.011399438
-2.83,-0.011484164
-2.82,-0.011569541
-2.81,-0.011655148
-2.8,-0.011740134
-2.79,-0.01182747
-2.78,-0.0119146
-2.77,-0.012002732
-2.76,-0.012091833
-2.75,-0.012180632
-2.74,-0.012271737
-2.73,-0.012362423
-2.72,-0.012454128
-2.71,-0.012546925
-2.7,-0.012639522
-2.69,-0.012734103
-2.68,-0.012829273
-2.67,-0.012924854
-2.66,-0.013020849
-2.65,-0.013117441
-2.64,-0.013216602
-2.63,-0.013316057
-2.62,-0.013415066
-2.61,-0.013513891
-2.6,-0.013613797
-2.59,-0.01371605
-2.58,-0.013823627
-2.57,-0.01392867
-2.56,-0.014030002
-2.55,-0.014133129
-2.54,-0.014235361
-2.53,-0.014328816
-2.52,-0.014436402
-2.51,-0.014575189
-2.5,-0.014756417
-2.49,-0.014846211
-2.48,-0.014919719
-2.47,-0.015022144
-2.46,-0.015152014
-2.45,-0.015261182
-2.44,-0.015374614
-2.43,-0.015493329
-2.42,-0.015613212
-2.41,-0.015733993
-2.4,-0.01585924
-2.39,-0.015982517
-2.38,-0.016106217
-2.37,-0.016232003
-2.36,-0.016359929
-2.35,-0.016488435
-2.34,-0.01661596
-2.33,-0.016746618
-2.32,-0.016877657
-2.31,-0.017008942
-2.3,-0.017142957
-2.29,-0.017276907
-2.28,-0.01741157
-2.27,-0.017547907
-2.26,-0.017686006
-2.25,-0.017825087
-2.24,-0.017964716
-2.23,-0.018105467
-2.22,-0.018247785
-2.21,-0.018391196
-2.2,-0.018534311
-2.19,-0.018680622
-2.18,-0.018827592
-2.17,-0.018975184
-2.16,-0.019123702
-2.15,-0.019273793
-2.14,-0.019424555
-2.13,-0.019577852
-2.12,-0.019732627
-2.11,-0.019888116
-2.1,-0.020043845
-2.09,-0.020203124
-2.08,-0.020363009
-2.07,-0.020523837
-2.06,-0.020686177
-2.05,-0.020850838
-2.04,-0.021016483
-2.03,-0.021183236
-2.02,-0.021351699
-2.01,-0.021522155
-2,-0.021694568
-1.99,-0.021867921
-1.98,-0.022043203
-1.97,-0.022220529
-1.96,-0.022399609
-1.95,-0.022579751
-1.94,-0.022761786
-1.93,-0.022945285
-1.92,-0.023130821
-1.91,-0.023318143
-1.9,-0.023506177
-1.89,-0.023698739
-1.88,-0.023891599
-1.87,-0.02408614
-1.86,-0.024282533
-1.85,-0.024479736
-1.84,-0.024680302
-1.83,-0.02488275
-1.82,-0.02508614
-1.81,-0.025290714
-1.8,-0.025497895
-1.79,-0.025707673
-1.78,-0.025918323
-1.77,-0.026130734
-1.76,-0.026344979
-1.75,-0.026560321
-1.74,-0.026778593
-1.73,-0.026998706
-1.72,-0.027220239
-1.71,-0.027442946
-1.7,-0.027666757
-1.69,-0.027892941
-1.68,-0.028121254
-1.67,-0.028350685
-1.66,-0.028580804
-1.65,-0.028811757
-1.64,-0.029045589
-1.63,-0.029279518
-1.62,-0.029515193
-1.61,-0.029752165
-1.6,-0.029987885
-1.59,-0.030227505
-1.58,-0.030466722
-1.57,-0.030708259
-1.56,-0.030950858
-1.55,-0.031189279
-1.54,-0.031442926
-1.53,-0.031671242
-1.52,-0.031883615
-1.51,-0.032112883
-1.5,-0.032415333
-1.49,-0.032621751
-1.48,-0.032884374
-1.47,-0.033133593
-1.46,-0.033353159
-1.45,-0.033580185
-1.44,-0.033812535
-1.43,-0.034042955
-1.42,-0.034269289
-1.41,-0.034491605
-1.4,-0.0347122
-1.39,-0.034928853
-1.38,-0.035138686
-1.37,-0.035342602
-1.36,-0.035541809
-1.35,-0.035737815
-1.34,-0.035919194
-1.33,-0.036094292
-1.32,-0.036261458
-1.31,-0.036419309
-1.3,-0.036566725
-1.29,-0.036701481
-1.28,-0.036823009
-1.27,-0.036929994
-1.26,-0.037022064
-1.25,-0.037099786
-1.24,-0.037152933
-1.23,-0.03718849
-1.22,-0.037203803
-1.21,-0.037196943
-1.2,-0.037166711
-1.19,-0.037101782
-1.18,-0.037009196
-1.17,-0.036886071
-1.16,-0.036729896
-1.15,-0.036538522
-1.14,-0.036297164
-1.13,-0.036013939
-1.12,-0.035686432
-1.11,-0.035312052
-1.1,-0.034888037
-1.09,-0.03438875
-1.08,-0.033829576
-1.07,-0.03320548
-1.06,-0.03251244
-1.05,-0.031747453
-1.04,-0.030874989
-1.03,-0.029916275
-1.02,-0.028864783
-1.01,-0.027714451
-1,-0.026459684
-0.99,-0.025052228
-0.98,-0.023519941
-0.97,-0.021856755
-0.96,-0.020054623
-0.95,-0.01810352
-0.94,-0.015937578
-0.93,-0.013594926
-0.92,-0.011067113
-0.91,-0.008344574
-0.9,-0.005416631
-0.89,-0.002186593
-0.88,0.001284979
-0.87,0.005013677
-0.86,0.009012522
-0.85,0.013291967
-0.84,0.01797795
-0.83,0.022994181
-0.82,0.028354428
-0.81,0.034073113
-0.8,0.040165304
-0.79,0.046798185
-0.78,0.053854499
-0.77,0.061353719
-0.76,0.069313798
-0.75,0.077751174
-0.74,0.086857692
-0.73,0.096489675
-0.72,0.106660603
-0.71,0.117384252
-0.7,0.128674694
-0.69,0.14074237
-0.68,0.153403443
-0.67,0.166665945
-0.66,0.180534302
-0.65,0.195009333
-0.64,0.210288892
-0.63,0.22617243
-0.62,0.242640964
-0.61,0.259680574
-0.6,0.2772824
-0.59,0.2955876
-0.58,0.314380608
-0.57,0.333642271
-0.56,0.353337587
-0.55,0.373415704
-0.54,0.393931478
-0.53,0.414724351
-0.52,0.435774008
-0.51,0.457038072
-0.5,0.478452099
-0.49,0.499669385
-0.48,0.521015602
-0.47,0.542314823
-0.46,0.563467776
-0.45,0.58445184
-0.44,0.605059928
-0.43,0.625391946
-0.42,0.645369309
-0.41,0.664937614
-0.4,0.684066631
-0.39,0.702558876
-0.38,0.72053624
-0.37,0.737969225
-0.36,0.754837542
-0.35,0.771130116
-0.34,0.786622422
-0.33,0.801504189
-0.32,0.815778149
-0.31,0.829443349
-0.3,0.842495146
-0.29,0.854734408
-0.28,0.866379827
-0.27,0.877438829
-0.26,0.887922253
-0.25,0.897844342
-0.24,0.907036022
-0.23,0.915701374
-0.22,0.92385627
-0.21,0.931516917
-0.2,0.938699857
-0.19,0.94527087
-0.18,0.95140552
-0.17,0.957120602
-0.16,0.962431109
-0.15,0.96735023
-0.14,0.971773469
-0.13,0.975843914
-0.12,0.979570817
-0.11,0.982966685
-0.1,0.986047278
-0.09,0.988718134
-0.08,0.99110044
-0.07,0.993197857
-0.06,0.995016357
-0.05,0.996564221
-0.04,0.997758504
-0.03,0.998698589
-0.02,0.999382938
-0.01,0.999814359
0,1
0.01,0.999848419
0.02,0.999450166
0.03,0.998799455
0.04,0.997892227
0.05,0.996726141
0.06,0.995211915
0.07,0.993428692
0.08,0.991366713
0.09,0.989018367
0.1,0.986378186
0.11,0.983335179
0.12,0.97996906
0.13,0.976272739
0.14,0.972237259
0.15,0.967851795
0.16,0.962967729
0.17,0.957692669
0.18,0.952010182
0.19,0.945907053
0.2,0.939373285
0.21,0.932224971
0.22,0.924599755
0.23,0.916478387
0.24,0.907845918
0.25,0.898691695
0.26,0.888805781
0.27,0.878357797
0.28,0.867333568
0.29,0.855721882
0.3,0.843514484
0.31,0.830500585
0.32,0.816875204
0.33,0.802634214
0.34,0.787779523
0.35,0.772319079
0.36,0.756058157
0.37,0.739221601
0.38,0.721822369
0.39,0.703878674
0.4,0.685413984
0.41,0.666304875
0.42,0.646765508
0.43,0.626821947
0.44,0.60651429
0.45,0.585896671
0.46,0.564948023
0.47,0.543853799
0.48,0.522537227
0.49,0.501114153
0.5,0.479893039
0.51,0.458586866
0.52,0.437372627
0.53,0.41636199
