time,x,y
0.001501,6.77647,9.34453
0.001501,6.77619,9.34481
0.001501,6.77716,9.34691
0.001501,6.776,9.34575
0.001501,6.77783,9.3445
0.001501,6.77589,9.34594
0.001501,6.77563,9.34481
0.001501,6.77592,9.34537
0.001501,6.77603,9.34528
0.001501,6.77613,9.34656
0.001501,6.77666,9.34559
0.001501,6.77533,9.34678
0.001501,6.77702,9.34525
0.001501,6.77694,9.34578
0.001501,6.77544,9.34563
0.001501,6.77739,9.34534
0.001501,6.77673,9.34591
0.001501,6.77655,9.34544
0.001501,6.77719,9.34687
0.001501,6.77697,9.34509
0.001501,6.77609,9.345
0.001501,6.77586,9.34603
0.001501,6.7773,9.34597
0.001501,6.77661,9.34566
0.001501,6.77622,9.34584
0.001502,6.77683,9.34634
0.001502,6.77639,9.34603
0.001502,6.77538,9.34572
0.001502,6.77708,9.34662
0.001502,6.7755,9.3465
0.001502,6.77777,9.34578
0.001502,6.776,9.34597
0.001502,6.77678,9.34572
0.001502,6.77606,9.34591
0.001502,6.77591,9.34491
0.001502,6.77578,9.34472
0.001502,6.77705,9.34516
0.001502,6.77733,9.34731
0.001502,6.77592,9.34509
0.001502,6.77647,9.34522
0.001502,6.77642,9.34634
0.001502,6.77694,9.34506
0.001502,6.77636,9.34716
0.001502,6.77683,9.34506
0.001502,6.77681,9.34669
0.001502,6.77623,9.34534
0.001502,6.77606,9.34541
0.001502,6.77558,9.34625
0.001502,6.77589,9.34512
0.001502,6.77619,9.34534
0.001503,6.77548,9.34556
0.001503,6.77627,9.34403
0.001503,6.77631,9.34541
0.001503,6.77638,9.34625
0.001503,6.77595,9.34409
0.001503,6.77638,9.34516
0.001503,6.77638,9.34422
0.001503,6.77489,9.34519
0.001503,6.77628,9.34512
0.001503,6.77556,9.3445
0.001503,6.77711,9.34534
0.001503,6.77717,9.34481
0.001503,6.77752,9.34406
0.001503,6.77584,9.34441
0.001503,6.77739,9.34628
0.001503,6.77698,9.34619
0.001503,6.77739,9.34662
0.001503,6.77627,9.34591
0.001503,6.77663,9.34597
0.001503,6.77713,9.34462
0.001503,6.77806,9.34641
0.001503,6.77553,9.34566
0.001503,6.7772,9.34653
0.001503,6.77553,9.34503
0.001503,6.77644,9.34456
0.001504,6.77592,9.34566
0.001504,6.77527,9.34666
0.001504,6.77742,9.3465
0.001504,6.77634,9.34641
0.001504,6.77683,9.34634
0.001504,6.77628,9.34497
0.001504,6.7767,9.34641
0.001504,6.77545,9.34625
0.001504,6.77639,9.34812
0.001504,6.77509,9.34563
0.001504,6.77619,9.34478
0.001504,6.77619,9.34481
0.001504,6.77606,9.34553
0.001504,6.77759,9.34606
0.001504,6.77803,9.34622
0.001504,6.77683,9.34597
0.001504,6.77664,9.34694
0.001504,6.77595,9.34556
0.001504,6.77638,9.34641
0.001504,6.77697,9.34728
0.001504,6.77716,9.34603
0.001504,6.77659,9.34594
0.001504,6.77666,9.34609
0.001504,6.77569,9.34462
0.001504,6.7765,9.34691
0.001505,6.77664,9.34619
0.001505,6.77622,9.34466
0.001505,6.77655,9.34475
0.001505,6.77673,9.346
0.001505,6.77622,9.34541
0.001505,6.77569,9.34631
0.001505,6.77592,9.34544
0.001505,6.77673,9.34581
0.001505,6.7763,9.34622
0.001505,6.77722,9.34544
0.001505,6.77694,9.34612
0.001505,6.77673,9.34522
0.001505,6.7755,9.34544
0.001505,6.77669,9.34509
0.001505,6.77602,9.34578
0.001505,6.77647,9.34541
0.001505,6.77773,9.34563
0.001505,6.77592,9.34537
0.001505,6.77602,9.34584
0.001505,6.77767,9.34678
0.001505,6.77744,9.34544
0.001505,6.778,9.34591
0.001505,6.7772,9.34575
0.001505,6.77631,9.34519
0.001505,6.77736,9.34666
0.001506,6.77738,9.34506
0.001506,6.77603,9.34669
0.001506,6.77589,9.3455
0.001506,6.7767,9.34697
0.001506,6.77569,9.34603
0.001506,6.77633,9.34603
0.001506,6.77597,9.34506
0.001506,6.77588,9.34647
0.001506,6.77658,9.34466
0.001506,6.77691,9.34372
0.001506,6.7758,9.3455
0.001506,6.77616,9.34572
0.001506,6.77625,9.34612
0.001506,6.77659,9.34609
0.001506,6.77545,9.34666
0.001506,6.77569,9.34569
0.001506,6.77703,9.3465
0.001506,6.77667,9.34488
0.001506,6.77663,9.34769
0.001506,6.77703,9.34659
0.001506,6.77684,9.34634
0.001506,6.7757,9.34594
0.001506,6.7765,9.34684
0.001506,6.776,9.34647
0.001506,6.7767,9.34541
0.001507,6.77613,9.3455
0.001507,6.77639,9.34641
0.001507,6.77725,9.34647
0.001507,6.77603,9.34622
0.001507,6.77628,9.34584
0.001507,6.77686,9.34622
0.001507,6.77638,9.34537
0.001507,6.77677,9.34612
0.001507,6.77645,9.34609
0.001507,6.77586,9.34528
0.001507,6.77683,9.34594
0.001507,6.7772,9.34713
0.001507,6.77647,9.34803
