time,x,y
-0.068,0,0
-0.06792,8.06E-12,3.10E-12
-0.06784,3.23E-11,1.24E-11
-0.06776,7.28E-11,2.80E-11
-0.06768,1.30E-10,4.98E-11
-0.0676,2.03E-10,7.80E-11
-0.06752,2.93E-10,1.13E-10
-0.06744,4.00E-10,1.54E-10
-0.06736,5.24E-10,2.01E-10
-0.06728,6.64E-10,2.55E-10
-0.0672,8.22E-10,3.15E-10
-0.06712,9.97E-10,3.82E-10
-0.06704,1.19E-09,4.56E-10
-0.06696,1.40E-09,5.36E-10
-0.06688,1.63E-09,6.23E-10
-0.0668,1.87E-09,7.17E-10
-0.06672,2.13E-09,8.17E-10
-0.06664,2.41E-09,9.25E-10
-0.06656,2.71E-09,1.04E-09
-0.06648,3.03E-09,1.16E-09
-0.0664,3.36E-09,1.29E-09
-0.06632,3.72E-09,1.42E-09
-0.06624,4.09E-09,1.56E-09
-0.06616,4.48E-09,1.71E-09
-0.06608,4.89E-09,1.87E-09
-0.066,5.31E-09,2.03E-09
-0.06592,5.76E-09,2.20E-09
-0.06584,6.23E-09,2.38E-09
-0.06576,6.71E-09,2.57E-09
-0.06568,7.22E-09,2.76E-09
-0.0656,7.74E-09,2.96E-09
-0.06552,8.29E-09,3.17E-09
-0.06544,8.85E-09,3.38E-09
-0.06536,9.43E-09,3.60E-09
-0.06528,1.00E-08,3.83E-09
-0.0652,1.07E-08,4.07E-09
-0.06512,1.13E-08,4.32E-09
-0.06504,1.20E-08,4.57E-09
-0.06496,1.27E-08,4.83E-09
-0.06488,1.34E-08,5.10E-09
-0.0648,1.41E-08,5.37E-09
-0.06472,1.48E-08,5.66E-09
-0.06464,1.56E-08,5.95E-09
-0.06456,1.64E-08,6.25E-09
-0.06448,1.72E-08,6.56E-09
-0.0644,1.80E-08,6.88E-09
-0.06432,1.89E-08,7.20E-09
-0.06424,1.98E-08,7.53E-09
-0.06416,2.07E-08,7.88E-09
-0.06408,2.16E-08,8.22E-09
-0.064,2.25E-08,8.58E-09
-0.06392,2.35E-08,8.95E-09
-0.06384,2.45E-08,9.32E-09
-0.06376,2.55E-08,9.71E-09
-0.06368,2.66E-08,1.01E-08
-0.0636,2.76E-08,1.05E-08
-0.06352,2.87E-08,1.09E-08
-0.06344,2.98E-08,1.13E-08
-0.06336,3.09E-08,1.18E-08
-0.06328,3.21E-08,1.22E-08
-0.0632,3.33E-08,1.26E-08
-0.06312,3.45E-08,1.31E-08
-0.06304,3.57E-08,1.36E-08
-0.06296,3.69E-08,1.40E-08
-0.06288,3.82E-08,1.45E-08
-0.0628,3.95E-08,1.50E-08
-0.06272,4.09E-08,1.55E-08
-0.06264,4.22E-08,1.60E-08
-0.06256,4.36E-08,1.65E-08
-0.06248,4.50E-08,1.70E-08
-0.0624,4.64E-08,1.76E-08
-0.06232,4.79E-08,1.81E-08
-0.06224,4.93E-08,1.87E-08
-0.06216,5.09E-08,1.93E-08
-0.06208,5.24E-08,1.98E-08
-0.062,5.39E-08,2.04E-08
-0.06192,5.55E-08,2.10E-08
-0.06184,5.72E-08,2.16E-08
-0.06176,5.88E-08,2.22E-08
-0.06168,6.05E-08,2.29E-08
-0.0616,6.22E-08,2.35E-08
-0.06152,6.39E-08,2.41E-08
-0.06144,6.56E-08,2.48E-08
-0.06136,6.74E-08,2.55E-08
-0.06128,6.92E-08,2.61E-08
-0.0612,7.11E-08,2.68E-08
-0.06112,7.29E-08,2.75E-08
-0.06104,7.48E-08,2.82E-08
-0.06096,7.68E-08,2.90E-08
-0.06088,7.87E-08,2.97E-08
-0.0608,8.07E-08,3.04E-08
-0.06072,8.27E-08,3.12E-08
-0.06064,8.48E-08,3.20E-08
-0.06056,8.69E-08,3.27E-08
-0.06048,8.90E-08,3.35E-08
-0.0604,9.11E-08,3.43E-08
-0.06032,9.33E-08,3.51E-08
-0.06024,9.55E-08,3.59E-08
-0.06016,9.77E-08,3.68E-08
-0.06008,1.00E-07,3.76E-08
-0.06,1.02E-07,3.85E-08
-0.05992,1.05E-07,3.93E-08
-0.05984,1.07E-07,4.02E-08
-0.05976,1.09E-07,4.11E-08
-0.05968,1.12E-07,4.20E-08
-0.0596,1.14E-07,4.29E-08
-0.05952,1.17E-07,4.38E-08
-0.05944,1.19E-07,4.48E-08
-0.05936,1.22E-07,4.57E-08
-0.05928,1.24E-07,4.67E-08
-0.0592,1.27E-07,4.77E-08
